match_number,innings,balls,batting_team,bowling_team,striker,non_striker,runs_off_bat,extras,running_runs,fours,sixes,total_runs,bowler,wicket_type,caught,bowled,lbw,run_out,total_wickets,is_boundary,player_dismissed,team1,team2,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,match_id,is_wickets
48,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Australia,22-06-2024,Arnos Vale Ground,Kingstown,Australia,field,Gulbadin Naib,Ahsan Raza,HDPK Dharmasena,Nitin Menon,JJ Crowe,Afghanistan,21,0,Group,1,1
49,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,United States of America,England,23-06-2024,Kensington Oval,Bridgetown,England,field,AU Rashid,CB Gaffaney,JS Wilson,A Paleker,DC Boon,England,15,10,Group,1,1
50,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,South Africa,23-06-2024,Sir Vivian Richards Stadium,North Sound,South Africa,field,T Shamsi,AG Wharf,RJ Tucker,Sharfuddoula,RS Madugalle,South Africa,15,3,Group,1,1
51,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Australia,24-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Australia,field,RG Sharma,RK Illingworth,RA Kettleborough,HDPK Dharmasena,JJ Crowe,India,24,0,Group,1,1
52,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Bangladesh,24-06-2024,Arnos Vale Ground,Kingstown,Afghanistan,bat,Naveen-ul-Haq,L Rusere,Nitin Menon,Ahsan Raza,RB Richardson,Afghanistan,122,0,Group,1,1
53,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,South Africa,26-06-2024,Brian Lara Stadium,Tarouba,Afghanistan,bat,M Jansen,Nitin Menon,RK Illingworth,Ahsan Raza,RB Richardson,South Africa,15,9,Semi Final,1,1
54,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,England,27-06-2024,Providence Stadium,Providence,England,field,AR Patel,CB Gaffaney,RJ Tucker,PR Reiffel,JJ Crowe,India,68,0,Semi Final,1,1
55,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,South Africa,29-06-2024,Kensington Oval,Bridgetown,India,bat,V Kohli,CB Gaffaney,RK Illingworth,RJ Tucker,RB Richardson,India,2,0,Final,1,1
1,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Canada,United States of America,01-06-2024,Grand Prairie Stadium,Dallas,United States of America,field,Aaron Jones,RK Illingworth,Sharfuddoula,L Rusere,RB Richardson,United States of America,15,7,Group,1,1
2,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Papua New Guinea,West Indies,02-06-2024,Providence Stadium,Providence,West Indies,field,RL Chase,AT Holdstock,Rashid Riaz,HDPK Dharmasena,AJ Pycroft,West Indies,15,5,Group,1,1
